TableName,Region,IncomeGroup
Aruba,Latin America & Caribbean,High income
Afghanistan,South Asia,Low income
Angola,Sub-Saharan Africa,Lower middle income
Albania,Europe & Central Asia,Upper middle income
Andorra,Europe & Central Asia,High income
Arab World,,
United Arab Emirates,Middle East & North Africa,High income
Argentina,Latin America & Caribbean,Upper middle income
Armenia,Europe & Central Asia,Upper middle income
American Samoa,East Asia & Pacific,Upper middle income
AntiguaandBarbuda,Latin America & Caribbean,High income
Australia,East Asia & Pacific,High income
Austria,Europe & Central Asia,High income
Azerbaijan,Europe & Central Asia,Upper middle income
Burundi,Sub-Saharan Africa,Low income
Belgium,Europe & Central Asia,High income
Benin,Sub-Saharan Africa,Lower middle income
Burkina Faso,Sub-Saharan Africa,Low income
Bangladesh,South Asia,Lower middle income
Bulgaria,Europe & Central Asia,Upper middle income
Bahrain,Middle East & North Africa,High income
Bahamas,Latin America & Caribbean,High income
BosniaandHerzegovina,Europe & Central Asia,Upper middle income
Belarus,Europe & Central Asia,Upper middle income
Belize,Latin America & Caribbean,Upper middle income
Bermuda,North America,High income
Bolivia(PlurinationalStateof),Latin America & Caribbean,Lower middle income
Brazil,Latin America & Caribbean,Upper middle income
Barbados,Latin America & Caribbean,High income
BruneiDarussalam,East Asia & Pacific,High income
Bhutan,South Asia,Lower middle income
Botswana,Sub-Saharan Africa,Upper middle income
CentralAfricanRepublic,Sub-Saharan Africa,Low income
Canada,North America,High income
Central Europe and the Baltics,,
Switzerland,Europe & Central Asia,High income
Channel Islands,Europe & Central Asia,High income
Chile,Latin America & Caribbean,High income
China,East Asia & Pacific,Upper middle income
CÃ´ted'Ivoire,Sub-Saharan Africa,Lower middle income
Cameroon,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income
"Congo, Rep.",Sub-Saharan Africa,Lower middle income
Colombia,Latin America & Caribbean,Upper middle income
Comoros,Sub-Saharan Africa,Lower middle income
CaboVerde,Sub-Saharan Africa,Lower middle income
CostaRica,Latin America & Caribbean,Upper middle income
Caribbean small states,,
Cuba,Latin America & Caribbean,Upper middle income
Curaçao,Latin America & Caribbean,High income
Cayman Islands,Latin America & Caribbean,High income
Cyprus,Europe & Central Asia,High income
Czech Republic,Europe & Central Asia,High income
Germany,Europe & Central Asia,High income
Djibouti,Middle East & North Africa,Lower middle income
Dominica,Latin America & Caribbean,Upper middle income
Denmark,Europe & Central Asia,High income
DominicanRepublic,Latin America & Caribbean,Upper middle income
Algeria,Middle East & North Africa,Lower middle income
East Asia & Pacific (excluding high income),,
Early-demographic dividend,,
East Asia & Pacific,,
Europe & Central Asia (excluding high income),,
Europe & Central Asia,,
Ecuador,Latin America & Caribbean,Upper middle income
Egypt,Middle East & North Africa,Lower middle income
Euro area,,
Eritrea,Sub-Saharan Africa,Low income
Spain,Europe & Central Asia,High income
Estonia,Europe & Central Asia,High income
Ethiopia,Sub-Saharan Africa,Low income
European Union,,
Fragile and conflict affected situations,,
Finland,Europe & Central Asia,High income
Fiji,East Asia & Pacific,Upper middle income
France,Europe & Central Asia,High income
Faroe Islands,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income
Gabon,Sub-Saharan Africa,Upper middle income
United Kingdom,Europe & Central Asia,High income
Georgia,Europe & Central Asia,Upper middle income
Ghana,Sub-Saharan Africa,Lower middle income
Gibraltar,Europe & Central Asia,High income
Guinea,Sub-Saharan Africa,Low income
Gambia,Sub-Saharan Africa,Low income
Guinea-Bissau,Sub-Saharan Africa,Low income
EquatorialGuinea,Sub-Saharan Africa,Upper middle income
Greece,Europe & Central Asia,High income
Grenada,Latin America & Caribbean,Upper middle income
Greenland,Europe & Central Asia,High income
Guatemala,Latin America & Caribbean,Upper middle income
Guam,East Asia & Pacific,High income
Guyana,Latin America & Caribbean,Upper middle income
High income,,
"Hong Kong SAR, China",East Asia & Pacific,High income
Honduras,Latin America & Caribbean,Lower middle income
Heavily indebted poor countries (HIPC),,
Croatia,Europe & Central Asia,High income
Haiti,Latin America & Caribbean,Low income
Hungary,Europe & Central Asia,High income
IBRD only,,
IDA & IBRD total,,
IDA total,,
IDA blend,,
Indonesia,East Asia & Pacific,Upper middle income
IDA only,,
Isle of Man,Europe & Central Asia,High income
India,South Asia,Lower middle income
Ireland,Europe & Central Asia,High income
Iran(IslamicRepublicof),Middle East & North Africa,Upper middle income
Iraq,Middle East & North Africa,Upper middle income
Iceland,Europe & Central Asia,High income
Israel,Middle East & North Africa,High income
Italy,Europe & Central Asia,High income
Jamaica,Latin America & Caribbean,Upper middle income
Jordan,Middle East & North Africa,Upper middle income
Japan,East Asia & Pacific,High income
Kazakhstan,Europe & Central Asia,Upper middle income
Kenya,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,Europe & Central Asia,Lower middle income
Cambodia,East Asia & Pacific,Lower middle income
Kiribati,East Asia & Pacific,Lower middle income
St. Kitts and Nevis,Latin America & Caribbean,High income
"Korea, Rep.",East Asia & Pacific,High income
Kuwait,Middle East & North Africa,High income
Latin America & Caribbean (excluding high income),,
LaoPeople'sDemocraticRepublic,East Asia & Pacific,Lower middle income
Lebanon,Middle East & North Africa,Upper middle income
Liberia,Sub-Saharan Africa,Low income
Libya,Middle East & North Africa,Upper middle income
St. Lucia,Latin America & Caribbean,Upper middle income
Latin America & Caribbean,,
Least developed countries: UN classification,,
Low income,,
Liechtenstein,Europe & Central Asia,High income
Sri Lanka,South Asia,Lower middle income
Lower middle income,,
Low & middle income,,
Lesotho,Sub-Saharan Africa,Lower middle income
Late-demographic dividend,,
Lithuania,Europe & Central Asia,High income
Luxembourg,Europe & Central Asia,High income
